year,player,pos,age,team,g,gs,mp,pts,trb,ast,fgpct,threeppct,ftpct
1950,Chink Crossin,G,26,PHW,64,0,0.0,449.0,0.0,148.0,32.2,,78.2
1951,Joe McNamee,SF,24,ROC,60,0,0.0,123.0,101.0,18.0,28.7,,64.3
1951,Harry Gallatin*,F-C,23,NYK,66,0,0.0,845.0,800.0,180.0,41.6,,73.2
1951,Alex Groza,C,24,INO,66,0,0.0,1429.0,709.0,156.0,47.0,,78.6
1951,Gene Vance,G-F,27,TRI,29,0,0.0,139.0,94.0,57.0,40.4,,70.1
1951,Leon Blevins,G,24,INO,2,0,0.0,2.0,2.0,1.0,25.0,,0.0
1951,Arnie Johnson,SF,30,ROC,68,0,0.0,639.0,449.0,175.0,45.9,,72.5
1951,Dick Schnittker,SF,22,WSC,29,0,0.0,295.0,153.0,41.0,41.1,,86.6
1952,Ralph O'Brien,SG,23,INO,64,0,1577.0,578.0,122.0,124.0,37.2,,81.9
1952,Jake Fendley,SG,22,FTW,58,0,651.0,183.0,80.0,58.0,31.8,,78.9
1952,Wah Wah,PF,25,INO,58,0,1320.0,430.0,283.0,150.0,31.3,,75.0
1952,Paul Walther,SG,24,INO,55,0,1903.0,671.0,246.0,137.0,40.1,,75.0
1952,Dillard Crocker,PF,27,MLH,32,0,760.0,284.0,108.0,57.0,35.0,,66.2
1953,Dave Minor,PG,30,MLH,40,0,1309.0,318.0,211.0,105.0,36.9,,73.6
1953,Pete Darcey,C,22,MLH,12,0,90.0,11.0,10.0,2.0,16.7,,55.6
1953,Bob Davies*,PG,33,ROC,66,0,2216.0,1029.0,195.0,280.0,38.5,,75.3
1953,Connie Simmons,C,27,NYK,65,0,1707.0,729.0,458.0,127.0,37.7,,73.2
1953,Eddie Miller,C,21,MLH,10,0,160.0,39.0,60.0,6.0,26.8,,52.9
1953,Fred Scolari,PG,30,FTW,16,0,505.0,178.0,47.0,37.0,37.7,,82.4
1954,Mike Novak,PF,38,SYR,5,0,24.0,1.0,2.0,2.0,0.0,,50.0
1954,Norm Grekin,F,23,PHW,1,0,1.0,0.0,0.0,0.0,0.0,,0.0
1954,Bob Lavoy,PF,27,TOT,68,0,1277.0,364.0,317.0,78.0,37.9,,72.9
1954,Max Zaslofsky,SG,28,BLB,11,0,418.0,180.0,43.0,33.0,35.2,,76.7
1954,Jim Fritsche,PF,22,TOT,68,0,1221.0,281.0,217.0,73.0,30.6,,72.1
1955,Frank Ramsey*,SF,23,BOS,64,0,1754.0,715.0,402.0,185.0,39.9,,75.5
1955,Red Rocha,C,31,SYR,72,0,2473.0,812.0,489.0,178.0,36.8,,78.2
1955,Whitey Skoog,SG,28,MNL,72,0,2365.0,785.0,303.0,251.0,39.5,,80.6
1955,Fred Christ,G,24,NYK,6,0,48.0,20.0,8.0,7.0,27.8,,90.9
1956,Jack Twyman*,SF,21,ROC,72,0,2186.0,1038.0,466.0,171.0,42.2,,68.5
1956,Arnie Risen*,C,31,BOS,68,0,1597.0,548.0,553.0,88.0,38.3,,70.8
1956,George Mikan*,C,31,MNL,37,0,765.0,390.0,308.0,53.0,39.5,,77.0
1956,Jack Coleman,PF,31,TOT,75,0,2738.0,957.0,688.0,294.0,41.2,,71.1
1957,Frank Ramsey*,SG,25,BOS,35,0,807.0,418.0,178.0,67.0,39.3,,79.1
1957,Jim Ray,G,23,SYR,4,0,43.0,7.0,5.0,3.0,18.2,,60.0
1957,Bob Williams,F,25,MNL,4,0,20.0,4.0,5.0,0.0,25.0,,66.7
1957,Bob Burrow,C,22,ROC,67,0,1028.0,404.0,293.0,41.0,37.4,,61.6
1958,Dave Piontek,SF,23,CIN,71,0,1032.0,395.0,254.0,52.0,37.8,,62.9
1958,Richie Regan,SG,27,CIN,72,0,1648.0,524.0,175.0,185.0,35.5,,69.8
1958,Ron Shavlik,F,24,NYK,1,0,2.0,0.0,1.0,0.0,0.0,,0.0
1958,Ed Conlin,SF,24,SYR,60,0,1871.0,901.0,436.0,133.0,39.1,,79.6
1959,Jack Parr,C,22,CIN,66,0,1037.0,262.0,278.0,51.0,35.5,,60.3
1959,Frank Ramsey*,SG,27,BOS,72,0,2013.0,1107.0,491.0,147.0,37.8,,78.2
1959,Gene Shue,PG,27,DET,72,0,2745.0,1266.0,335.0,231.0,38.8,,80.3
1959,Ed Conlin,SG,25,TOT,72,0,1955.0,855.0,394.0,132.0,36.9,,71.9
1960,Gary Alcorn,C,23,DET,58,0,670.0,230.0,279.0,22.0,29.2,,57.1
1960,Barney Cable,F,24,DET,7,0,116.0,48.0,48.0,6.0,36.7,,40.0
